,企業名,キャッチコピー,ステータス,初年度年収
147,日研トータルソーシング株式会社 | ◆WEB面接1回のみで内定も可能◆年休最大160日◆残業ほぼなし,AI・自動化で話題の業界！【ロボットメンテナンス】◆未経験歓迎 正社員,正社員,
148,株式会社永大プランニング | 『永大ハウスグループ』◎新店舗オープニングメンバー募集中！！,＼未経験歓迎／住宅の悩みを解決【リフォームコーディネーター】 正社員,正社員,300万円～500万円
149,トラストシティ株式会社 | あなたが成功を掴めるまでサポート！キャリアの選択肢も豊富！,【不動産営業】年収2000万円は射程圏内！1億円も目指せる！ 正社員,正社員,400万円～1500万円
150,日研トータルソーシング株式会社 | ◆WEB面接1回のみで内定も可能◆年休最大160日◆残業ほぼなし,好きな街で働けるものづくり【サポートスタッフ】年休最大160日 正社員,正社員,
151,UTコネクト株式会社 | 【プライム市場・UTグループ】好きなエリアでずっと働ける♪,土日休可【軽作業スタッフ】未経験OK/完全週休2日制☆積極採用中 正社員,正社員,300万円～500万円
152,株式会社オープンハウス | 東証プライム上場企業のグループ会社◆20代管理職率76%,【営業総合職】未経験歓迎★「20代で年収1000万円」の実績多数！ 正社員,正社員,429万円～1000万円
153,株式会社hybrid | 様々な事業を展開！新しいことにチャレンジし可能性を切り拓く！,【人材コーディネーター】未経験者歓迎！スピーディーに昇格可能 正社員,正社員,336万円～650万円
154,"東建コーポレーション株式会社 | 上場企業で""待遇も働き方""も満足しませんか？",今がチャンス＊若手育成採用【営業】全国募集/未経験OK/30歳まで 正社員,正社員,400万円～800万円
155,東建コーポレーション株式会社 | ＜転職成功者が多数＞年収320万から、860万を実現した先輩も◎,目指せ！年収UP【営業系総合職】年齢不問/全国・社会人経験募集 正社員,正社員,400万円～800万円
156,株式会社スタッフサービス | エンジニアリング事業本部・約700種類の学習講座でスキルアップ,新型ロボット等の【ものづくりサポート】未経験OK/手当充実 正社員,正社員,300万円～600万円
157,東建コーポレーション株式会社 | WEB面接実施！『 年齢に関係なく、まだまだやれる会社です！』,50代で転職。そんな方も活躍中【営業】全国/未経験歓迎/年齢不問 正社員,正社員,400万円～800万円
158,UTエイム株式会社 | 【東証一部上場グループ】★安定基盤,シンプルワーク中心【軽作業スタッフ(梱包・検品等)】未経験OK！ 正社員,正社員,300万円～500万円
159,大和総合住設株式会社 | 賞与年4回支給！正当な評価制度アリ★月収200万円も目指せます,完全週休2日制(日・月)&ゆっくり13時出社♪【提案営業】福岡勤務 正社員,正社員,350万円～800万円
160,株式会社クラスアップ | 【29歳以下限定募集】残業月15h以下｜年休120日超｜成約率70％超,短時間でガッツリ稼げる【提案営業】3ヶ月目で月収50万円も可能 正社員,正社員,400万円～1200万円
161,株式会社マイプレイス | 東証二部上場「株式会社あかつき本社」グループ企業の安定基盤,千葉営業所オープンニングスタッフ／中古マンション【仕入営業】 正社員,正社員,
162,株式会社フィールドリンク | ★高収入＋インセンティブあり★完全週休二日制★残業ほぼなし,完全反響営業のみ！在宅勤務でニーズ高まる商材の【提案営業】 正社員,正社員,400万円～700万円
163,株式会社 High mind | 第一期生募集！新事業が本格START★目指せRetty No.1パートナー,グルメサイト ” Retty ” の【 法人営業 】年休125日(土日祝) 正社員,正社員,350万円～800万円
164,株式会社Trasaburou | 【直近2年間は約200％成長】◆残業少なめ◆長期休暇あり,【配車＆倉庫の管理スタッフ】★未経験歓迎◆平均年齢30歳 正社員,正社員,300万円～400万円
165,株式会社ダンデライン | 完全週休2日制☆インセン&年4回昇給チャンス有☆WEB面接1回,【プロモーションスタッフ】★未経験OK★１年で年収700万可能 正社員,正社員,400万円～700万円
166,朝日土地建物株式会社 | 集客力×知名度業界トップクラス★2段階研修で成長★特別賞与4回,100％反響型！未経験でも成果が出せる【不動産営業】★面接保証 正社員,正社員,500万円～1500万円
167,アンリミ株式会社 | ＼完全WEB面接／★在宅勤務可★個室社員寮あり★ゲーム好き多数,"""まっさら""だからこそ”採用したい【ITエンジニア】★面接保証 正社員",正社員,246万円～500万円
168,株式会社ハマエンジニアリング | ～充実の福利厚生をご用意～ 正社員として長く活躍できます！,工場内を歩いて部品を運ぶ【 倉庫内スタッフ 】★年間休日144日 正社員,正社員,
169,株式会社御剣商事 | ★★関西 積極採用中★★嬉しい福利厚生：理美容補助金など,＼20代の若手活躍中／【キャリアアドバイザー】☆完全週休2日制 正社員,正社員,300万円～700万円
170,株式会社インテリックス | 【東証一部(プライム)上場】★収入2倍UP可★年収2000万円～も可,【法人営業】★BtoBだから完休2日&残業20h以内★フレックス勤務 正社員,正社員,450万円～900万円
171,株式会社こども総合研究所 | ＜教育×IT(AI・ビッグデータ)／年休125日／残業ほぼゼロ＞,【100%自社内開発エンジニア】★前職給与以上を確約します★ 正社員,正社員,420万円～1000万円
172,フォーザウィン株式会社 | ＜有休消化率100%／残業月平均15時間以下／年間休日125日＞,【インフラエンジニア】◆経験者 ◆前給以上確約 ◆面接保証 正社員,正社員,420万円～1000万円
173,株式会社砂建 | ＜ 完全週休2日制も可 ＞業績好調の注目企業で活躍しませんか？,【 総合職（製造／組み立て／配送） 】未経験歓迎★基本定時退社 正社員,正社員,
174,株式会社風光る | 待機中も給与は100％保証／年休120日／大阪府緊急雇用対策に賛同,【ITエンジニア】90％フルリモート◎／還元率80％／月給27万円～ 正社員,正社員,360万円～840万円
175,"株式会社秀永 | ★残業は年に3,4回程度!! ★完全土日祝休み ★20代~30代活躍中",自社物件の【不動産管理(BM)/施設・設備管理】★安定基盤が魅力 正社員,正社員,400万円～550万円
176,株式会社タカラレーベンリアルネット | 東証プライム上場 タカラレーベングループ/残業月20h程度,【不動産事務スタッフ 】成長企業をバックオフィスからサポート 正社員,正社員,350万円～900万円
177,株式会社ソヴリックコーポレーション | ＃大阪府緊急雇用対策に賛同＃定時退社＃未経験入社90％＃高収入,年収1000万円以上可能な【不動産営業】未経験大歓迎&年休120日☆ 正社員,正社員,550万円～1500万円
178,株式会社ビッグモーター | 【5年連続買取台数No.1が活躍の舞台】★平均年収957万円以上,業界No.1の【自動車販売スタッフ】★経験/学歴/年齢不問 正社員,正社員,330万円～1500万円
179,株式会社Trasaburou | 【直近2年間は約200％成長】◆完全週休2日制◆長期休暇あり,未経験OK！軽貨物車両の【リース営業】★テレアポ＆飛び込みなし 正社員,正社員,300万円～400万円
180,株式会社ZEPE | 100％反響営業！無理のない働き方で、安定した収入を目指せる！,【ルート営業】未経験可！完全週休2日／高還元のインセンティブ 正社員,正社員,400万円～500万円
181,UTエイム株式会社 | 【旧社名:UTパベック株式会社(4/1社名変更)】社宅補助有り,未経験歓迎【ものづくりサポート(データ入力・検品・仕分け等)】 正社員,正社員,300万円～450万円
182,日本交通株式会社 | 社員75％以上が年収500万円超！土日休も取得OK/育休取得実績あり,【総合職（リピート促進営業・VIP専属・ハイヤー乗務員）】 正社員,正社員,400万円～800万円
183,フォーザウィン株式会社 | ＜月収55万円以上のスタッフが8割以上／日額報酬も可能＞,普通免許があれば始められる【軽貨物ドライバー】★全国募集 業務委託,業務委託,
184,DSP株式会社 | 初年度年収450万円以上可/産休育休有/大阪府緊急雇用対策に賛同,【総合職(営業/広報/人事/総務など)】やりたいことが見つかる♪ 正社員,正社員,400万円～1000万円
185,"株式会社テクノプロ・コンストラクション | プライム市場で""待遇も働き方""も改善◆入社祝い金あり",中途入社の9割が収入UP！【施工管理】★賞与年2回★土日祝休み 正社員,正社員,450万円～1106万円
186,東京セキスイファミエス株式会社 | 《セキスイハイムグループ》コロナ禍も黒字経営継続の安定企業,未経験歓迎！【リフォームコーディネーター】◎完全週休二日制 正社員,正社員,
187,株式会社ビッグモーター | ★転勤なし！好きな街で活躍 ★高水準の給与！月収40万以上も可,未経験者もすぐに収入UP【受付事務】★基本定時退社★月8~10日休 正社員,正社員,330万円～550万円
188,サーヴェイトコンサルティング株式会社 | 【経験者は前給考慮】*賞与有*20～30代活躍中*面接1回,【事務系総合職(IT事務/一般事務)】年間休日128日*土日祝休み* 正社員,正社員,300万円～600万円
189,株式会社インテック | ◆未経験でも月給25万円～◆賞与年2回◆インセンティブ支給◎,人材サービスに関する【総合職(営業・人材コーディネーター)】 正社員,正社員,350万円～500万円
190,株式会社フジナガ | 業界トップクラスシェア！ヨーロッパ・アジアなどにも拠点あり,地域環境に貢献する【提案営業】完全週休2日制／未経験歓迎 正社員,正社員,350万円～550万円
191,株式会社TCG | 【前職給与保証！働く時間は12～18時の6時間！】土日休み選択可,平均年収834万円【営業】★1/3の社員が社長より給与も休みも多い 正社員,正社員,400万円～1500万円
192,株式会社ネクジット | 年商30億円突破/賞与1回240万円実績あり/面接1回/長期休暇あり,未経験でも月給35万円保証！【施工管理アシスタント】月収50万可 正社員,正社員,450万円～700万円
193,株式会社セルモ | ＜セルモグループ＞冠婚葬祭業界のリーディングカンパニー,あなたの夢が叶う！インセンティブ充実★年収600万円可【営業】 正社員,正社員,350万円～500万円
194,株式会社HiiizL | 創立以来黒字経営★教育評価制度充実★入社祝金10万円,3年連続政府推奨アワード受賞！週休二日！【イベントPR・営業】 正社員,正社員,300万円～700万円
195,"サングローブ株式会社 | ★創業8期目で20,000社と直取引★年休130日/土日祝休み/残業ゼロ",Webマーケティングの【インサイドセールス】未経験で年1000万可 正社員,正社員,350万円～1500万円
196,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,【エンジニア・技術職】理系職経験者募集◆学歴不問◆全国募集 正社員,正社員,
197,株式会社貴順 | *都心エリアの平均月収60万円 *スタッフの8割以上が月収55万円超,普通免許だけで応募OK！【軽ドライバー】★東日本エリア限定 業務委託,業務委託,100万円～1000万円
198,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,【カスタマーエンジニア】未経験歓迎◆学歴・年齢不問◆全国募集 正社員,正社員,
199,グラハム株式会社 | 【大阪府緊急雇用対策に賛同】◆未経験大歓迎◆私服OK,【広告営業】◆月給30万円以上 ◆昇給・昇格のチャンス年4回 正社員,正社員,360万円～600万円
200,アプライド マテリアルズ ジャパン株式会社 | 売上世界No.1の半導体製造装置メーカーの日本法人,全国募集【エンジニア・技術職】未経験歓迎◆高卒以上◆年齢不問 正社員,正社員,
201,株式会社C・S・R | ★安定職★若手活躍中★年休120日以上★未経験歓迎★,【ITサービススタッフ】未経験で月収40万円も可♪13年連続売上増 正社員,正社員,
202,株式会社一家ダイニングプロジェクト | 【新店舗続々OPEN】多事業展開/早期キャリアUP可/深夜営業なし,経験者優遇！【店長・店長候補】様々な挑戦が可能！月給31万～ 正社員,正社員,
203,エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】※直近の平均月収34.4万～49.5万円,【観光案内ドライバー】平均月収34.4万円～/給与保証有/社宅有 正社員,正社員,400万円～700万円
204,株式会社ビッグモーター | ＼充実したサポート環境／◆未経験女性も活躍中◆月8～10日休み,未経験歓迎♪【カーライフプランナー】平均年収957万円*高卒以上 正社員,正社員,330万円～1500万円
205,株式会社九州エネコ | 《年収例／3年目 880万円／3年目 738万円／6年目 1421万円》,★年休120日以上/完休2日制/転勤なし/社員寮あり★【企画営業】 正社員,正社員,400万円～750万円
206,株式会社リンクスタッフグループ | ★コロナ禍でも昨対150％成長★年末報奨金制度・各種手当が充実,【人材コーディネーター】★20代中心★完全週休2日★年休120日～ 正社員,正社員,350万円～600万円
207,ホームトレードセンター株式会社 | 【東証一部上場／飯田グループホールディングス】,【不動産仲介の営業スタッフ】★完全週休2日 ★平均年収750万円 正社員,正社員,350万円～800万円
208,株式会社ワークナビ | [コロナ禍でも、絶好調！]■2022年ベストベンチャー100に選出！,営業未経験でも月給30万円スタート！【人材コーディネーター】 正社員,正社員,450万円～1200万円
209,株式会社そら | 『Dr.stretch』＼過去最高収益／#昇給年4回 #賞与2回 #転勤なし,【ストレッチトレーナー】”人生が変わった”そんな先輩が多数！ 正社員,正社員,300万円～550万円
210,マルデナポリジャパン株式会社 | 100店舗チャレンジ始動★新ポストもあり未経験者もチャンス十分,★選べる働き方★有名イタリアンの【店長・SV候補】*全国募集 正社員,正社員,350万円～600万円
211,株式会社エー・エス・エル | 《東証一部上場企業グループ》コロナ禍でも過去最高益レベル！,【ITエンジニア（開発／インフラ）】◎テレワーク率85%以上 正社員,正社員,400万円～800万円
212,株式会社VRST | 独立支援制度あり！英語教育・プログラミング(Java/AWS)研修実施,【ITエンジニア】★グローバル人材に育成します！★副業OK 正社員,正社員,360万円～1500万円
213,住友林業ホームサービス株式会社 | 【オリコン顧客満足度3冠達成】,反響営業の【不動産営業】★年収1000万超も可★フレックス制 正社員,正社員,300万円～800万円
214,株式会社Style | ■希望勤務地への配属を確約■残業ほぼナシ＆土日休＆大型連休◎,【施工管理アシスタント】★年間休日125日以上／平均月収38万円 正社員,正社員,360万円～940万円
215,株式会社日本セレモニー | コロナ禍でも黒字経営★典礼会館やFIVESTAR WEDDINGを運営！,【セレモニープランナー】働きやすい環境＆充実の研修をご用意！ 正社員,正社員,300万円～450万円
216,株式会社公共土木積算研究所 | 【関東随一積算ソフトメーカー】★30年以上の実績と抜群の知名度,自社ソフトの【提案営業】★月給30万円以上+毎月インセンティブ 正社員,正社員,400万円～800万円
217,UTコネクト株式会社 | 【※旧社名：UTコミュニティ株式会社(4/1社名変更)】年休133日可,【サポートスタッフ(PC入力・検品等)】17:00定時退社＆土日休可 正社員,正社員,
218,株式会社西家 | ◆年3回の大型連休が可能（GW／夏季／年末年始）,充実の月給40万円以上！「稼ぎたい」を実現できる【不動産営業】 正社員,正社員,480万円～2000万円
219,株式会社神美 | 女性専門のセルライトケア『THE PERFECT LINE』を全国に展開！,【エステティシャン】*女性活躍中*完全週休2日*年休120日 正社員,正社員,342万円～480万円
220,株式会社テクトン | 「未経験で心配・・・」そんなあなたを応援する会社,★接客・販売職からの未経験入社多数★Excel研修あり【事務職】 正社員,正社員,280万円～460万円
221,株式会社アミークス | 《40年連続で黒字経営の安定基盤》10名以上の積極採用を実施！,未経験歓迎！オフィス内装工事の【養生スタッフ】★月給30.5万～ 契約社員,契約社員,366万円～450万円
222,株式会社西家 | 大型連休年3回（GW/夏季/年末年始）→最大9連休、年間休日120日,新部門のコアメンバー！【リノベーション営業】★完全週休2日制 正社員,正社員,500万円～2000万円
223,株式会社ユニークプラス | 大阪府緊急雇用対策に賛同／インセンティブ＋売上報奨金あり,休みも稼ぎもきっと大満足!省エネ製品の【提案営業】未経験OK 正社員,正社員,480万円～700万円
224,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",業界イメージを打ち破る【タクシードライバー】⇒ その秘密は？ 正社員,正社員,
225,コスモエコロジー株式会社 | 未経験入社でも安心！コミュニケーション力を活かせます♪,エコ商品をPR♪地球環境に貢献できるお仕事です！【PRスタッフ】 正社員,正社員,350万円～900万円
226,サステナブルエナジー株式会社 | ＼広島・博多・熊本積極採用／★土日祝休★賞与年3回★WEB面接可,地球環境に貢献！再生可能エネルギーに携わる【営業】年休120日~ 正社員,正社員,380万円～630万円
227,大東建託株式会社 | 【東証プライム上場】平均月収850万円／年休125日／転勤なし,【営業職】一生モノのスキルを身につけられる／埼玉県限定募集 正社員,正社員,350万円～1000万円
228,フォーシーズンズ株式会社 | 3年連続『健康優良法人』に認定／年120日休みの働き方が可能！,【セールススタッフ】ベンツ・Audiなどの正規ディーラーで活躍！ 正社員,正社員,350万円～700万円
229,株式会社エヌ事業hoop | ★土日祝休み ★インセンティブ充実！月収80万円も可能！,会社のコアメンバーとして成長できる【企画営業】◆学歴不問 正社員,正社員,400万円～600万円
230,小金井不動産株式会社 | LIXIL不動産ショップTOPクラス＜1年以内の離職はほとんどなし＞,反響型の【売買営業】◎社員定着率83％　◎埼玉限定募集 正社員,正社員,300万円～1000万円
231,株式会社シーズン2 | ★未経験歓迎 ★月給30万円以上 ★休みも充実 ★独立支援制度有,SNSで話題！<スシエビス>を運営！【総合職（店長/料理長/SV）】 正社員,正社員,400万円～600万円
232,株式会社牧野ガスセンター | コロナ禍でも経営安定/大阪ガスグループ/転勤なし/未経験歓迎,地域に根差して活躍する【ライフアドバイザー】※賞与年3回 正社員,正社員,300万円～500万円
233,アートバンライン株式会社 | 大手企業と多数取引で業績好調★月8～9日休み土日休みも可,平均月収37万★【小型(2t)トラックドライバー】★面接1回/[未]OK 正社員,正社員,
234,アートバンライン株式会社 | 大手企業と多数取引で業績好調★月8～9日休み★土日休みも可,平均月収42万★【中型(4t)トラックドライバー】面接1回★転勤無 正社員,正社員,
235,アートバンライン株式会社 | 大手企業と多数取引で業績好調★売上345億円を誇る安定企業,平均月収46万円★【大型(10t)ドライバー】★無理のない配車調整 正社員,正社員,
236,小金井不動産株式会社 | LIXIL不動産ショップTOPクラス＜1年以内の離職はほとんどなし＞,反響型の【売買営業】栃木で長く働ける！　※社員定着率83％ 正社員,正社員,300万円～1000万円
237,リベル株式会社 | 20～30代中心【実例：26歳営業／最高インセンティブ月328万円】,"＼未経験でも安心／""残業なし""で年収1000万も叶う【不動産営業】 正社員",正社員,400万円～1200万円
238,株式会社アーバン・ウェブ | ★テレワーク導入 ★有給消化ほぼ100％ ★残業月20時間以内,【システムエンジニア】★経験者は前職給与保証 正社員,正社員,400万円～750万円
239,株式会社LOHASTYLE | 年休120日以上／完全週休2日制／面接1回！,想像以上の超成長と超高収入を応援！【営業職】★未経験者超歓迎 正社員,正社員,250万円～800万円
240,株式会社プレコヴィユニット | 過去最高利益を達成した「プレコグループ」の安定性◎引越手当有,《44歳以下の方全員面接》【ルートセールス】未経験OK★夕方退社 正社員,正社員,380万円～500万円
241,大東建託株式会社 | 【東証一部・名証一部上場】◎入社支度金30万円支給！,自分の個性や経験が活かせる【提案営業】安定と成長を手に入れる 正社員,正社員,420万円～1000万円
242,株式会社エヌ事業hoop | ★土日祝休み ★残業20時間以内,稼ぐ営業に成長した若手活躍中【施工プランナー】◆高卒以上 正社員,正社員,400万円～600万円
243,黒柳建設株式会社 | ◎賞与平均6.8か月分 ◎月給30万円以上 ◎独身者は家賃半額負担,三河の未来を創る存在に【 施工管理(土木・建築) 】◎未経験OK 正社員,正社員,450万円～750万円
244,株式会社早稲田アカデミー | 《東証一部上場》個別部門拡大につき経験者積極採用,本気で向き合い、合格を目指す【講師】☆塾講師経験者募集 正社員,正社員,350万円～600万円
245,株式会社ファミリー | 【鹿児島限定採用】1週間程度の長期休暇取得可能・原則転勤なし,【不動産営業職】30周年目前！事業拡大による鹿児島本格始動！ 正社員,正社員,
246,株式会社音通 | 東証スタンダード市場上場企業のグループ会社｜基本土日休み,ノルマなし！意欲＆人柄重視【営業】★残業ほぼなし★賞与年4回 正社員,正社員,350万円～450万円
247,株式会社駅前不動産 | 2019年に東証プライム上場企業『 リログループ 』の一員に。,【 不動産総合職（賃貸／売買／不動産管理）】*若手社員が活躍中 正社員,正社員,
248,株式会社ソーケン | 設立50年以上の安定企業/オフィス空間のプロデュース事業を展開,オフィス空間を手掛ける【施工管理】◆未経験OK/9連休取得可 正社員,正社員,378万円～490万円
249,フォーライフ株式会社 | 《東証グロース上場企業》3年連続増収増益！長期的に成長継続中,分譲・注文住宅の【施工管理】★月給40万円以上可能★経験者歓迎 正社員,正社員,500万円～800万円
